Product Name,Brand,Type,Capacity,Price (INR),Energy Rating,Special Features,Warranty,Dimensions (WxDxH cm),Color,Noise Level (dB),Best For
AquaSpin Pro 700,AquaSpin,Front Load,7 kg,28999,5 Star,"Inverter motor, Steam wash, 1200 RPM spin, Allergen removal cycle",2 years comprehensive + 10 years motor,60x55x85,White,52,"Small to medium families wanting energy savings and fabric care"
CleanWave Top 65,CleanWave,Top Load,6.5 kg,15999,3 Star,"Fuzzy logic sensor, Rust-free body, 3D wash technology, Child lock",2 years comprehensive,55x54x90,Grey,58,"Budget-conscious households, first-time buyers"
TurboDry Combo 8,TurboDry,Front Load with Dryer,8 kg wash / 5 kg dry,42999,4 Star,"Wash and dry in one machine, Sensor drying, Anti-crease, Wi-Fi app control",2 years comprehensive + 10 years motor,60x58x85,Silver,54,"Apartments without balcony drying space, busy professionals"
EcoWash Mini 55,EcoWash,Top Load,5.5 kg,12499,4 Star,"Compact design, Low water usage, Soft close lid, Toughened glass window",1 year comprehensive,50x50x88,White,56,"Bachelors, small households, compact spaces"
PowerJet Ultra 90,PowerJet,Front Load,9 kg,54999,5 Star,"AI-based load sensing, Steam sanitize, 1400 RPM spin, Quick 15-min wash",3 years comprehensive + 12 years motor,60x60x85,Black,50,"Large families, heavy weekly laundry loads"
SilentCare 70,SilentCare,Front Load,7 kg,31999,5 Star,"Ultra-quiet inverter motor, Vibration reduction feet, Baby care cycle, Delay start",2 years comprehensive + 10 years motor,60x56x85,White,45,"Homes with babies or light sleepers, night-time laundry"
ValueSpin Basic 62,ValueSpin,Top Load,6.2 kg,10999,3 Star,"Manual dial control, Rat-away technology, Wide door opening",1 year comprehensive,54x53x90,Blue,60,"Tight budgets, simple no-frills usage"
SmartHome Twin 8Plus,SmartHome,Front Load,8 kg,47999,5 Star,"Wi-Fi and voice assistant control, Auto-detergent dispenser, Steam refresh, 1300 RPM",3 years comprehensive + 10 years motor,60x58x85,Graphite,51,"Tech-savvy households wanting app-based control"
FreshAir Dual 75,FreshAir,Top Load,7.5 kg,18999,4 Star,"Air dry function, Double waterfall wash, Stainless steel tub, Auto-restart after power cut",2 years comprehensive,56x55x91,White,55,"Families wanting a balance of price and features"
ProLaundry Commercial 10,ProLaundry,Front Load,10 kg,68999,5 Star,"Heavy-duty motor rated for daily use, Commercial-grade drum, Extra rinse cycle, Detergent auto-dosing",3 years comprehensive + 15 years motor,62x62x88,Steel Grey,53,"Large families, home-based laundry businesses, hostels"
