Product Name,Brand,Type,Capacity,Price (INR),Energy Rating,Special Features,Warranty,Cooling Coil,Noise Level (dB),Best For
FrostFlow Split 1Ton,FrostFlow,Split AC,1 Ton,29999,3 Star,"Turbo cooling, Auto-restart, Sleep mode, Anti-bacterial filter",1 year comprehensive + 5 years compressor,Copper,42,"Small bedrooms up to 120 sq ft"
ChillMax Split 1.5Ton,ChillMax,Split AC,1.5 Ton,38999,5 Star,"Inverter compressor, Wi-Fi control, Dust filter, Low noise operation",1 year comprehensive + 10 years compressor,Copper,38,"Medium bedrooms and living rooms up to 150 sq ft"
PolarBreeze Window 1Ton,PolarBreeze,Window AC,1 Ton,24999,3 Star,"Compact fit, Mechanical control, Auto swing, Dehumidifier mode",1 year comprehensive + 5 years compressor,Copper,48,"Single rooms, budget buyers with window fitting"
IceCore Split 2Ton,IceCore,Split AC,2 Ton,52999,4 Star,"Fast cooling for large rooms, PM 2.5 filter, Self-clean function",1 year comprehensive + 8 years compressor,Copper,40,"Large living rooms and halls up to 200 sq ft"
EcoAir Inverter 1.5Ton,EcoAir,Split AC,1.5 Ton,44999,5 Star,"Dual inverter technology, Extremely low power bills, Smart diagnosis",1 year comprehensive + 10 years compressor,Copper,36,"Energy-conscious households, long daily usage"
BudgetCool Window 1.5Ton,BudgetCool,Window AC,1.5 Ton,27999,3 Star,"Value pricing, Basic remote control, Rotary compressor",1 year comprehensive + 5 years compressor,Copper,50,"Tight budgets, rental homes"
SilentBreeze Split 1Ton,SilentBreeze,Split AC,1 Ton,33999,5 Star,"Ultra-quiet mode for bedrooms, Sleep curve technology, Anti-corrosive coating",1 year comprehensive + 10 years compressor,Copper,34,"Light sleepers, bedrooms, night-time use"
PowerCool Split 2.5Ton,PowerCool,Split AC,2.5 Ton,64999,4 Star,"Extra-large capacity, Commercial-grade cooling, Auto restart",1 year comprehensive + 8 years compressor,Copper,44,"Offices, shops, large open spaces"
SmartClimate Split 1.5Ton,SmartClimate,Split AC,1.5 Ton,47999,5 Star,"App and voice control, Weather-adaptive cooling, Follow-me sensor",1 year comprehensive + 10 years compressor,Copper,37,"Tech-savvy households wanting automation"
ValueChill Window 1Ton,ValueChill,Window AC,1 Ton,22999,3 Star,"Entry-level pricing, Reliable cooling, Easy installation",1 year comprehensive + 5 years compressor,Aluminium,49,"First-time AC buyers, small budgets"
