Product Name,Brand,Screen Size,Display Type,Resolution,Price (INR),Special Features,Warranty,Smart Platform,Sound Output,Refresh Rate,Best For
VividView 43 Smart,VividView,43 inch,LED,Full HD,22999,"HDR10, Dual-band Wi-Fi, Bezel-less design",1 year comprehensive,Android TV,20W speakers,60Hz,"Bedrooms, secondary TV"
CrystalClear 50 UHD,CrystalClear,50 inch,LED,4K Ultra HD,34999,"HDR10+, Dolby Vision, Voice remote, 3 HDMI ports",1 year comprehensive + 1 year panel,Google TV,30W speakers,60Hz,"Living rooms, general family viewing"
PixelPro OLED 55,PixelPro,55 inch,OLED,4K Ultra HD,89999,"Self-lit pixels, Perfect blacks, Dolby Atmos, Gaming mode",2 years comprehensive,WebOS,40W Dolby Atmos,120Hz,"Home theatre enthusiasts, movie lovers"
FrameStyle 43 Art,FrameStyle,43 inch,LED,4K Ultra HD,38999,"Art mode displays photos when off, Slim wall-mount design, Matte display",1 year comprehensive,Tizen,20W speakers,60Hz,"Design-conscious buyers, living spaces"
GameVision 65 Pro,GameVision,65 inch,QLED,4K Ultra HD,79999,"144Hz refresh rate, Low input lag, VRR support, Quantum dot color",2 years comprehensive,Google TV,50W speakers,144Hz,"Gamers, console and PC gaming setups"
ValueScreen 32 HD,ValueScreen,32 inch,LED,HD Ready,10999,"Basic smart features, USB media playback, Lightweight",1 year comprehensive,Linux based,16W speakers,60Hz,"Kitchens, small rooms, budget buyers"
UltraBright 75 Mega,UltraBright,75 inch,QLED,8K Ultra HD,189999,"8K upscaling, Quantum HDR, Object tracking sound, Solar remote",2 years comprehensive,Tizen,60W Object Tracking Sound,120Hz,"Premium home theatres, large living rooms"
EcoView 40 Basic,EcoView,40 inch,LED,Full HD,17999,"Low power consumption, Simple remote, Wall-mountable",1 year comprehensive,Android TV,18W speakers,60Hz,"Guest rooms, budget-conscious buyers"
StudioSound 55 Cinema,StudioSound,55 inch,QLED,4K Ultra HD,54999,"Built-in soundbar-style speakers, Filmmaker mode, HDR10+",2 years comprehensive,Google TV,45W speakers,60Hz,"Movie nights, home cinema on a budget"
CompactSmart 32 Plus,CompactSmart,32 inch,LED,HD Ready,13499,"Compact size, Screen mirroring, Multiple app support",1 year comprehensive,Android TV,16W speakers,60Hz,"Dorm rooms, small apartments, second TV"
